census_year,place,housing_units_total,housing_units_rental,housing_units_other,median_rent,population_total,population_poverty_below,population_poverty_above,population_race_white,population_race_black,population_race_latinx,population_race_asian,population_race_other
2006-2010 5-year estimates,Chicago,1197741,592752,604989,885,2703466,565024,2138442,859282,909842,753375,143654,37313
2014-2018 5-year estimates,Chicago,1208839,626929,581910,1077,2718555,530118,2188437,892323,808165,788140,172991,56936
